country,source_group,source_type,plant_type,commission_year,lifetime_years,load_factor,net_efficiency,construction_cost_usd_per_kw,contingency_usd_per_kw,om_variable_usd_per_mwh,om_fixed_usd_per_kw_year,fuel,fuel_cost_usd_per_mwh,fuel_cost_unit,emission_factor_tco2_per_mwh_fuel,ccs_efficiency
France,Low carbon,Solar,Solar PV (residential) (0.010 MW),2025,25.0,0.1764,1.0,1699.74,0.0,0.0,36.0,naturEnergy,0.0,MWh,0.0,0.0
France,Low carbon,Fuel cell,Fuel cell (0.003 MW),2025,20.0,0.85,0.45,6492.08,309.15,41.313,10.0,Hydrogen,50.0,MWh,0.0,0.0
France,Low carbon,Fuel cell,Fuel cell (0.20 MW),2025,20.0,0.85,0.45,5901.89,281.04,21.247,10.0,Hydrogen,50.0,MWh,0.0,0.0
France,Low carbon,Fuel cell,Fuel cell (15.2 MW),2025,20.0,0.85,0.45,2360.76,112.42,35.411,10.0,Hydrogen,50.0,MWh,0.0,0.0
Belgium,Fossil fuel,Gas,Gas (CCGT) (500 MW),2025,30.0,0.85,0.595,767.25,36.54,3.777,16.525,Gas,27.297,MWh,0.20196,0.0
Belgium,Fossil fuel,Gas,Gas (CCGT) (500 MW),2025,30.0,0.85,0.64,1009.22,48.06,1.629,23.608,Gas,27.297,MWh,0.20196,0.0
Belgium,Fossil fuel,Gas,Gas (CCGT) (500 MW),2025,30.0,0.85,0.58,973.81,46.37,3.5,23.608,Gas,27.297,MWh,0.20196,0.0
Belgium,Fossil fuel,Gas,Gas (OCGT/int. comb.) (350 MW),2025,30.0,0.3,0.4,531.17,25.29,4.934,6.745,Gas,27.297,MWh,0.20196,0.0
Belgium,Fossil fuel,Gas,Gas (OCGT/int. comb.) (500 MW),2025,30.0,0.3,0.41,670.45,31.93,1.298,22.427,Gas,27.297,MWh,0.20196,0.0
Belgium,Fossil fuel,Gas,Gas (OCGT/int. comb.) (500 MW),2025,30.0,0.3,0.38,590.19,28.1,3.5,11.804,Gas,27.297,MWh,0.20196,0.0
Belgium,Low carbon,Wind,Wind onshore (>= 1 MW) (5.0 MW),2025,25.0,0.3,1.0,1475.47,70.26,18.886,2.833,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Wind,Wind onshore (>= 1 MW) (30.0 MW),2025,25.0,0.275,1.0,1416.45,67.45,0.0,31.87,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Wind,Wind onshore (>= 1 MW) (4.5 MW),2025,25.0,0.25,1.0,1534.49,73.07,17.706,0.0,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Wind,Wind onshore (>= 1 MW) (30.0 MW),2025,25.0,0.275,1.0,1325.56,63.12,0.0,24.788,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Wind,Wind offshore (12.0 MW),2025,25.0,0.39,1.0,2360.76,112.42,35.411,0.0,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Wind,Wind offshore (50.0 MW),2025,25.0,0.39,1.0,2360.76,112.42,0.0,94.43,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Solar,Solar PV (residential) (0.010 MW),2025,25.0,0.132,1.0,1841.39,87.69,0.0,16.997,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Solar,Solar PV (residential) (0.010 MW),2025,25.0,0.1236,1.0,1345.63,64.08,0.0,14.165,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Solar,Solar PV (residential) (0.010 MW),2025,25.0,0.1278,1.0,1008.52,48.02,0.0,22.663,naturEnergy,0.0,MWh,0.0,0.0
Belgium,Low carbon,Solar,Solar PV (utility scale) (1.0 MW),2025,25.0,0.132,1.0,991.52,47.22,0.0,14.165,naturEnergy,0.0,MWh,0.0,0.0
Brazil,Fossil fuel,Lignite,Coal (900 MW),2025,40.0,0.85,0.34,2189.49,104.26,4.105,33.45,Lignite,10.8,MWh,0.363,0.0
Brazil,Fossil fuel,Gas,Gas (CCGT) (980 MW),2025,30.0,0.85,0.58,957.9,45.61,8.211,22.342,Gas,10.919,MWh,0.20196,0.0
Brazil,Fossil fuel,Gas,Gas (OCGT/int. comb.) (980 MW),2025,30.0,0.3,0.44,738.95,35.19,8.211,22.342,Gas,10.919,MWh,0.20196,0.0
Brazil,Low carbon,Wind,Wind onshore (>= 1 MW) (30.0 MW),2025,25.0,0.47,1.0,1313.69,50.53,0.0,24.632,naturEnergy,0.0,MWh,0.0,0.0
Brazil,Low carbon,Solar,Solar PV (utility scale) (25.0 MW),2025,25.0,0.3125,1.0,1197.38,29.37,0.0,17.105,naturEnergy,0.0,MWh,0.0,0.0
Brazil,Low carbon,Hydro,Run of river (>= 5 MW) (248 MW),2025,80.0,0.5,0.93,2326.33,110.78,0.0,13.823,naturEnergy,0.0,MWh,0.0,0.0
