___February_2026_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  93   4    5.00  -83.00        0.2403
  94   4    7.00  -83.00        0.2403
  95   4    9.00  -83.00        0.2403
  96   4   11.00  -83.00        0.2403
  97   4   13.00  -83.00        0.2403
  98   4   15.00  -83.00        0.2403
  99   4   17.00  -83.00        0.2403
 100   4   19.00  -83.00        0.2403
 101   4   21.00  -83.00        0.2403
 102   4   23.00  -83.00        0.2403
 103   4   25.00  -83.00        0.2403
 104   4   27.00  -83.00        0.2403
 105   4   29.00  -83.00        0.2403
 106   4   31.00  -83.00        0.2403
 107   4   33.00  -83.00        0.2403
 108   4   35.00  -83.00        0.2403
 109   4   37.00  -83.00        0.2403
 110   4   39.00  -83.00        0.2403
 111   4   41.00  -83.00        0.2403
 112   4   43.00  -83.00        0.2403
 113   4   45.00  -83.00        0.2403
 114   4   47.00  -83.00        0.2403
 115   4   49.00  -83.00        0.2403
 116   4   51.00  -83.00        0.2403
 117   4   53.00  -83.00        0.2403
 118   4   55.00  -83.00        0.2403
 119   4   57.00  -83.00        0.2403
 120   4   59.00  -83.00        0.2403
 121   4   61.00  -83.00        0.2403
 122   4   63.00  -83.00        0.2403
 123   4   65.00  -83.00        0.2403
 124   4   67.00  -83.00        0.2403
 125   4   69.00  -83.00        0.2403
 126   4   71.00  -83.00        0.2403
 127   4   73.00  -83.00        0.2403
 128   4   75.00  -83.00        0.2403
 129   4   77.00  -83.00        0.2403
 130   4   79.00  -83.00        0.2403
 131   4   81.00  -83.00        0.2403
 132   4   83.00  -83.00        0.2403
 133   4   85.00  -83.00        0.2403
 134   4   87.00  -83.00        0.2403
 135   4   89.00  -83.00        0.2403
 136   4   91.00  -83.00        0.2403
 137   4   93.00  -83.00        0.2403
 138   4   95.00  -83.00        0.2403
 139   4   97.00  -83.00        0.2403
 140   4   99.00  -83.00        0.2403
 141   4  101.00  -83.00        0.2403
 142   4  103.00  -83.00        0.2403
 143   4  105.00  -83.00        0.2403
 144   4  107.00  -83.00        0.2403
 145   4  109.00  -83.00        0.2403
 146   4  111.00  -83.00        0.2403
 147   4  113.00  -83.00        0.2403
 148   4  115.00  -83.00        0.2403
 149   4  117.00  -83.00        0.2403
 150   4  119.00  -83.00        0.2403
 151   4  121.00  -83.00        0.2403
 152   4  123.00  -83.00        0.2403
 153   4  125.00  -83.00        0.2403
 154   4  127.00  -83.00        0.2403
 155   4  129.00  -83.00        0.2403
 156   4  131.00  -83.00        0.2403
 157   4  133.00  -83.00        0.2403
 158   4  135.00  -83.00        0.2403
 159   4  137.00  -83.00        0.2403
 160   4  139.00  -83.00        0.2403
 161   4  141.00  -83.00        0.2403
 162   4  143.00  -83.00        0.2403
 163   4  145.00  -83.00        0.2403
 164   4  147.00  -83.00        0.2403
 165   4  149.00  -83.00        0.2403
