iso3,sea_level_exposure_pop_below_5m_pct,flood_deaths_latest,drought_deaths_latest,wildfire_deaths_latest,heat_deaths_latest,cereal_yield_anomaly_pct_latest,water_stress_pct_latest,freshwater_resources_per_capita_m3_latest,pm25_ug_m3_latest,air_pollution_death_rate_per_100k_latest,nd_gain_readiness_latest,coal_share_latest_pct
MAC,17.2292800165371,,,,,,,,,,,0.0
MAF,28.6791382228283,,,,,,,,,,,
MAR,1.44726242907171,22.0,0.0,,21.0,10.073706455389567,50.75121202,776.874555440233,21.3212642117301,66.6,0.430685302251667,59.275295
MCO,7.89918573895599,,,,,,,,9.5810695715317,,0.685146516275057,
MDA,0.0,1.0,0.0,,0.0,24.894527044720537,12.56311256,640.657045210614,14.7583463021422,68.9,0.43997515920611,0.0
MDG,4.29460833953867,11.0,0.0,,,-9.887284804624514,11.26150628,11071.9555218848,12.7535199510191,208.0,0.260796199654557,19.31818
MDV,49.170829688905,0.0,,,,16.08879557874588,15.66666667,57.2403292463738,12.0123911668511,32.0,0.45460291853433,0.0
MEA,3.96982122787165,,,,,12.723279402099443,,431.217522508361,39.7214311766558,127.480639969079,,
MEX,1.05110878855813,108.0,0.0,0.0,155.0,26.93411320788432,44.94514734,3180.07999137444,14.9923440243315,44.7,0.361279364751315,3.4883723
MHL,67.9731196801868,0.0,0.0,,,,,,10.7256194470999,,0.423376079170258,
MIC,4.36644056919896,,,,,19.884171056187167,,4247.61340384801,35.4255877759311,114.079060365971,,
MKD,0.0,22.0,0.0,1.0,3.0,6.987629555332665,52.55324298,2948.06170402334,26.118651401474,95.6,0.474219912531942,38.70968
MLI,0.0,92.0,0.0,,,18.327935931787774,8.00308642,2600.48264957976,56.7830489222988,167.1,0.280865858354974,0.0
MLT,2.3770445499738,,,,70.0,8.812318441117622,72.60000792,95.0833438458483,11.7226648774147,20.9,0.491827991080915,0.0
MMR,6.81173845504917,6.0,,8.0,50.0,6.0076598361801485,5.801501397,18654.3887007235,32.3150340028667,184.1,0.252192754510647,9.481361
MNA,3.63552374541269,,,,,13.202304264117682,,459.623423944883,39.1850228116455,132.461520606076,,
MNE,4.40624625277759,0.0,,0.0,135.0,4.960657168899385,,,17.9824100566499,115.2,0.466109055980211,24.242422
MNG,0.0,4.0,0.0,25.0,2.0,18.60186210874203,3.395007342,10134.6982946914,29.6547866481682,214.7,0.462281953971968,86.15752
MNP,6.28043795872844,,,,,,,,9.71463085081006,,,
MOZ,2.79978954807574,49.0,0.0,49.0,,-2.888210204833861,1.751486326,3071.3879360169,20.0802484321177,228.4,0.263459593264345,0.0
MRT,21.0047730040337,1.0,0.0,,,85.84580520277608,13.24621733,82.040562084503,70.8224442103687,128.4,0.354413283750964,0.0
MSR,,,,,,,,,,,,0.0
MUS,1.70500875904666,11.0,0.0,,,91.07745074710142,22.97346419,2178.97020489924,9.15296880580014,34.7,0.563975256743701,33.639145
MWI,0.0,39.0,0.0,,,11.995367955054688,17.50483809,784.686345212985,23.6983194353464,148.5,0.28667910246034,0.0
MYS,10.125909006039,18.0,0.0,0.0,,-2.726189835346474,3.43948718,16716.8686722509,16.1938532237922,76.5,0.505617252399218,43.04813
